Date,Tron Return,Tron Price,Famala Index,US Treasury Yield,Famala Index Return
2018-05-17,-0.06483737928688676,0.0674369037151336,4197.969949057729,3.11,-0.02390502619823587
2018-05-18,0.028502781133776377,0.0693866983056068,4263.96168170375,3.06,0.015719915446472933
2018-05-19,-0.003506760266467097,0.0691438019275665,4263.077680399479,3.06,-0.00020731924211818558
2018-05-20,0.11110445459405874,0.0772690027952194,4387.007784080252,3.06,0.029070571303584758
2018-05-21,0.06401947507294593,0.0823775008320808,4364.132215221741,3.06,-0.005214389849391951
2018-05-22,-0.096102795506409,0.0748293027281761,4216.471376008073,3.06,-0.033835097547832906
2018-05-23,-0.06888958245810038,0.069847896695137,4011.6245002832766,3.01,-0.04858253678428488
2018-05-24,0.04543725685070785,0.0730948001146316,3952.54647183117,2.98,-0.014726709453473227
2018-05-25,-0.025158239561834727,0.071278803050518,3920.7307872788456,2.93,-0.008049414416520347
2018-05-26,0.02607987692194208,0.0731621980667114,3828.359374648265,2.93,-0.023559743742234872
2018-05-27,-0.035630318221756316,0.0706012994050979,3861.0673717640516,2.93,0.008543606781636447
2018-05-28,-0.15187120334571186,0.0606535002589225,3840.648251602085,2.93,-0.0052884651304691815
2018-05-29,0.06935453249193305,0.0650094002485275,3952.335619305397,2.77,0.029080342792840403
2018-05-30,-0.04092812453364321,0.0624024011194705,3912.228807187177,2.84,-0.010147623071865623
2018-05-31,-0.030281267665388825,0.0605411008000373,3931.2552891545183,2.83,0.004863335685373901
2018-06-01,-0.03076182301072874,0.0587070994079113,3950.1392211277216,2.89,0.0048035374414121534
2018-06-02,0.04132834552534959,0.0611842013895511,3956.531912069525,2.89,0.0016183457300976403
2018-06-03,0.01289692430838779,0.0619783997535705,3968.8711712267473,2.89,0.0031187058341627647
2018-06-04,-0.04622087427824072,0.0591788999736309,3887.183983737015,2.94,-0.020581970027634722
2018-06-05,0.023351846485359554,0.0605770982801914,3931.1027292244694,2.92,0.011298344938443707
2018-06-06,-0.019481271469408857,0.0594084002077579,3958.151996695706,2.97,0.006880834548064104
2018-06-07,-0.009968997485535458,0.0588191002607345,3970.5097774574588,2.93,0.0031221086941756984
2018-06-08,-0.021350393336059995,0.0575766004621982,3952.3578027128556,2.93,-0.004571698789828173
2018-06-09,-0.007309119851091174,0.0571573004126548,3905.6706394958205,2.93,-0.011812483977283
2018-06-10,-0.17454774255838032,0.0480028018355369,3565.033875897889,2.93,-0.08721594702668115
2018-06-11,0.017075250102353962,0.0488294996321201,3625.644770520669,2.96,0.017001491916402784
2018-06-12,-0.10455190378980486,0.0439820997416973,3505.427328443488,2.96,-0.03315753464173962
2018-06-13,-0.05729926017277551,0.0415327996015548,3391.459041381659,2.98,-0.032511952576245305
2018-06-14,0.08940079410084188,0.0454168990254402,3526.164181873796,2.94,0.03971893478544242
2018-06-15,-0.057707287850496954,0.0428702011704444,3438.659353936369,2.93,-0.0248158688660173
2018-06-16,0.008006095316528265,0.0432148016989231,3498.887188926402,2.93,0.01751491752769515
2018-06-17,-0.01319800069701031,0.0426481999456882,3471.4726073178836,2.93,-0.007835228782248974
2018-06-18,0.05580845624512732,0.0450959987938404,3609.8834643374084,2.92,0.039870934521492124
2018-06-19,0.09323972129234913,0.0495029985904693,3601.053145352924,2.89,-0.0024461507058941637
2018-06-20,-0.002208352168846133,0.0493937991559505,3624.8760782015133,2.93,0.006615546032507869
2018-06-21,-0.015794051880092305,0.0486197993159294,3607.31849644836,2.90,-0.004843636409734789
2018-06-22,-0.11968448381604284,0.0431355014443397,3292.3896061900705,2.90,-0.08730276812772628
2018-06-23,0.023900927989370345,0.0441788993775844,3341.120442016533,2.90,0.014801053840907259
2018-06-24,-0.03968951973124387,0.0424598008394241,3396.3055594585076,2.90,0.016516949448451317
2018-06-25,-0.0026058434908892113,0.0423493012785911,3438.7521837859194,2.87,0.012497881472766953
2018-06-26,-0.1015025153562624,0.0382617004215717,3406.0884654072815,2.88,-0.009498712507592372
2018-06-27,0.01877119439899943,0.0389867015182971,3414.6395832102403,2.83,0.0025105389627442477
2018-06-28,-0.061395235849888846,0.0366651006042957,3290.3700862509095,2.84,-0.036393151877686616
2018-06-29,0.015474816537230542,0.0372368991374969,3494.687941129929,2.85,0.0620957064169709
