Date,Cardano Return,Cardano Price,Famala Index,US Treasury Yield,Famala Index Return
2018-06-02,0.023254853849891285,0.227742001414299,3956.531912069525,2.89,0.0016183457300976403
2018-06-03,0.0018074399137568726,0.2281540036201477,3968.8711712267473,2.89,0.0031187058341627647
2018-06-04,-0.06398878128641095,0.2140119969844818,3887.183983737015,2.94,-0.020581970027634722
2018-06-05,0.029715955138872735,0.2204670011997223,3931.1027292244694,2.92,0.011298344938443707
2018-06-06,-0.02176214050168741,0.215720996260643,3958.151996695706,2.97,0.006880834548064104
2018-06-07,-0.02156395148936384,0.211118996143341,3970.5097774574588,2.93,0.0031221086941756984
2018-06-08,-0.027667146523849644,0.2053579986095428,3952.3578027128556,2.93,-0.004571698789828173
2018-06-09,-0.016036731788312285,0.2020909935235977,3905.6706394958205,2.93,-0.011812483977283
2018-06-10,-0.13331433007607385,0.1768680065870285,3565.033875897889,2.93,-0.08721594702668115
2018-06-11,0.02463907941578661,0.1812800019979477,3625.644770520669,2.96,0.017001491916402784
2018-06-12,-0.08453712842567583,0.1665849983692169,3505.427328443488,2.96,-0.03315753464173962
2018-06-13,-0.0377850784665075,0.16040800511837,3391.459041381659,2.98,-0.032511952576245305
2018-06-14,0.07195169735986456,0.1723749935626983,3526.164181873796,2.94,0.03971893478544242
2018-06-15,-0.057475477527929364,0.1627469956874847,3438.659353936369,2.93,-0.0248158688660173
2018-06-16,0.0013202514265522596,0.1629620045423507,3498.887188926402,2.93,0.01751491752769515
2018-06-17,-0.009755283859050199,0.1613799929618835,3471.4726073178836,2.93,-0.007835228782248974
2018-06-18,0.01681775996816459,0.1641169935464859,3609.8834643374084,2.92,0.039870934521492124
2018-06-19,0.018521396797763257,0.1671849936246872,3601.053145352924,2.89,-0.0024461507058941637
2018-06-20,-0.03159723804204412,0.1619849950075149,3624.8760782015133,2.93,0.006615546032507869
2018-06-21,-0.021395868107394838,0.1585559993982315,3607.31849644836,2.90,-0.004843636409734789
2018-06-22,-0.12561612470200922,0.1398389935493469,3292.3896061900705,2.90,-0.08730276812772628
2018-06-23,-0.014194994142921104,0.1378680020570755,3341.120442016533,2.90,0.014801053840907259
2018-06-24,-0.03818312488226093,0.1327030062675476,3396.3055594585076,2.90,0.016516949448451317
2018-06-25,0.01915180108032362,0.1352690011262893,3438.7521837859194,2.87,0.012497881472766953
2018-06-26,-0.07019804169278294,0.1260990053415298,3406.0884654072815,2.88,-0.009498712507592372
2018-06-27,0.010609689905433747,0.1274439990520477,3414.6395832102403,2.83,0.0025105389627442477
2018-06-28,-0.0658681043863255,0.1193199977278709,3290.3700862509095,2.84,-0.036393151877686616
2018-06-29,0.052248226038499275,0.1257199943065643,3494.687941129929,2.85,0.0620957064169709
2018-06-30,0.0908095691532989,0.1376709938049316,3581.256357015621,2.85,0.024771429479251768
2018-07-01,0.03242400402287996,0.142207995057106,3566.401884910253,2.85,-0.004147838251307538
2018-07-02,0.10706226185376685,0.158278003334999,3655.5363346476647,2.87,0.024992822630154773
2018-07-03,-0.04936053782963774,0.1506550014019012,3616.297982046655,2.83,-0.010733952287412243
